"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"ECU002","01","ALBAÑIL D2 /ECUADOR $ SALARIO UNIFICADO ","0","","4/5/2026 12:00:00 a. m."
"ECU003","01","MAESTRO MAYOR OBRAS CIVILES C1 /ECUADOR ","0","","4/5/2026 12:00:00 a. m."
"ECU004","01","OPERADOR DE PERFORADOR C2 /ECUADOR $","0","","4/5/2026 12:00:00 a. m."
"ECU005","01","INSPECTOR DE OBRAS  B3 /ECUADOR $","0","","4/5/2026 12:00:00 a. m."
"ESP001","01","CERRAJERO NIVEL -N8","3,52","","4/5/2026 12:00:00 a. m."
"ESP002","01","JARDINERO NIVEL -N3","2,55","","4/5/2026 12:00:00 a. m."
"ESP003","01","OFICIAL ESPECIALISTA DE 2DA NIVEL -N4","2,75","","4/5/2026 12:00:00 a. m."
"ESP004","01","CHEQUEADOR NIVEL -N3","2,55","","4/5/2026 12:00:00 a. m."
"ESP005","01","VIGILANTE ARMADO DE SEGURIDAD","7,07","","4/5/2026 12:00:00 a. m."
"ESP006","01","SUPERVISOR DE OBRA / SERVICIOS","10,1","","4/5/2026 12:00:00 a. m."
"ESP007","01","RAPELERO /TRABAJO GENERAL RAPEL-FACHADAS","3,04","","4/5/2026 12:00:00 a. m."
"ESP008","01","RAPELERO PINTOR / TRABAJO DE RAPEL-FACHA","3,2","","4/5/2026 12:00:00 a. m."
"ESP009","01","TECNICO DE GAS","20,21","","4/5/2026 12:00:00 a. m."
"ESP010","01","TECNICO DE REDES","10,1","","4/5/2026 12:00:00 a. m."
"ESP011","01","MAESTRO MONTADOR NIVEL -N7","3,2","","4/5/2026 12:00:00 a. m."
"GAS001","01","TRASLADO DESDE CARACAS AL SITIO DE LA OB","33,24","","4/5/2026 12:00:00 a. m."
"GAS002","01","GASTOS DE HOSPEDAJE UN DIA Y UN TRABAJAD","55,39","","4/5/2026 12:00:00 a. m."
"GAS003","01","GASTOS DE ALIMENTACION UN DIA Y UN TRABA","33,24","","4/5/2026 12:00:00 a. m."
